Nombre del Programa,Tipo de Programa,Escuela,Campus,Duración,Periodo,Plan de Estudios
Maestría en Administración y Dirección de Empresas (MBA-V),Maestría,EGADE Business School,En línea,15 meses,Trimestral ,o
Maestría en Administración de Negocios Globales (MDE),Maestría,EGADE Business School,Campus Santa Fe,2 años,Semestral,o
Maestría en Analítica de Negocios (MBD),Maestría,EGADE Business School,Campus Monterrey,1 año,Trimestral ,o
Maestría en Finanzas (MAF-V),Maestría,EGADE Business School,En línea,15 meses ,Trimestral ,o
Doctorado en Ciencias de Ingeniería (DCI),Doctorado,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Ciudad de México; Campus Guadalajara; Campus Querétaro; Campus Puebla,4 años ,Semestral ,o
Doctorado en Biotecnología (DBT),Doctorado,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Guadalajara; Campus Querétaro,9 semestres ,Semestral ,o
Doctorado en Ciencias Computacionales (DCC),Doctorado,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Guadalajara; Campus Estado de México,8 semestres,Semestral ,o
Doctorado en Nanotecnología (DNT),Doctorado,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Estado de México,4 años,Semestral ,o
Doctorado en Política Pública (DPP),Doctorado,Escuela de Gobierno y Transformación Pública,Campus Monterrey; Campus Santa Fe,3.5 años,Semestral,o
Doctorado en Innovación Educativa (DEE),Doctorado,Escuela de Humanidades y Educación,Campus Monterrey,8 semestres,Semestral,o
Doctorado en Estudios Humanísticos (DEH),Doctorado,Escuela de Humanidades y Educación,Campus Monterrey; Campus Ciudad de México,4 años,Semestral,o
Doctorado en Ciencias Clínicas (DCL),Doctorado,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey; Campus Guadalajara,7 semestres,Semestral,o
Doctorado en Ciencias Biomédicas (DBC),Doctorado,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral,o
Doctorado en Ciencias Administrativas (DCA),Doctorado,EGADE Business School,Campus Monterrey; Campus Santa Fe,4 años,Semestral,o
Doctorado en Ciencias Financieras (DCF),Doctorado,EGADE Business School,Campus Santa Fe,4 años,Semestral,o
Especialidad en Logística y Cadena de Suministro (ELS),Especialidad,Escuela de Ingeniería y Ciencias,Campus Estado de México,1 año,Trimestral ,o
Especialidad en Administración de Proyectos (EPY),Especialidad,Escuela de Ingeniería y Ciencias,Campus Estado de México,1 año,Trimestral ,o
Especialidad en Inteligencia Artificial Aplicada (ENA-V),Especialidad,Escuela de Ingeniería y Ciencias,En línea,3 trimestres,Trimestral ,o
Especialidad en Gestión para el Liderazgo e Innovación Educativa (EGE-V),Especialidad,Escuela de Humanidades y Educación,En línea,1.5 años,Trimestral,o
Especialidad en Enseñanza y Evaluación del Inglés como Segunda Lengua ( EEE-V),Especialidad,Escuela de Humanidades y Educación,En línea,3 trimestres,Trimestral,o
Especialidad en Calidad de la Atención Clínica (RCA),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral ,o
Especialidad en Cardiología (RCR),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral ,o
Especialidad en Anestesiología (REA),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Especialidad en Medicina del Enfermo en Estado Crítico (REE),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,2 años,Semestral ,o
Especialidad en Ginecología y Obstetricia (REG),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Especialidad en Medicina Interna (REM),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Especialidad en Pediatría (REN),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Especialidad en Radiología e Imagen (RER),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Especialidad en Neurología (REU),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral ,o
Especialidad en Geriatría (RGE),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Especialidad en Neurología Pediátrica (RNP),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral ,o
Especialidad en Psiquiatría (RPS),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Especialidad en Urología (RUR),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Especialidad en Cirugía General (REC),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,5 años,Semestral ,o
Especialidad en Oftalmología (REO),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Especialidad en Neonatología (RNE),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral ,o
Especialidad en Anatomía Patológica (RAP),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral ,o
Ciencia de Datos (Virtual),Certificación,Certificado de Alta Especialidad,Aula Virtual,144 horas,o,o
Business Analytics: De los Datos al Conocimiento (Virtual),Certificación,Certificado de Alta Especialidad,Aula Virtual,144 horas,o,o
Sostenibilidad Financiera para la Transformación Pública (Virtual),Certificación,Certificado de Alta Especialidad,Aula Virtual,144 horas,o,o
Toma de Decisiones en Escenarios Complejos (Virtual),Certificación,Certificado de Alta Especialidad,Aula Virtual,144 horas,o,o
Administración de la Construcción,Certificación,Certificación,En línea,200 horas,o,o
Big Data como Estrategia de Negocios,Certificación,Certificación,En línea,82 horas,o,o
Certificación Internacional como Auditor Líder de Sistemas Integrados de Gestión ISO9001:2015; ISO14001:2015; ISO45001:2018 e ISO22000:2018,Certificación,Certificación,Aula Virtual,132 horas,o,o
Certificación Internacional en Coaching Ejecutivo y de Equipos,Certificación,Certificación,En línea,130 horas,o,o
Certificación Internacional en Coaching Profesional,Certificación,Certificación,Aula Virtual,112 horas,o,o
Certificación Internacional en Coaching de Vida y Marca Personal (ICT),Certificación,Certificación,Aula Virtual,96 horas,o,o
Desarrollo de Habilidades Gerenciales: Líder de Líderes,Certificación,Certificación,Live,94 horas,o,o
Desarrollo de Habilidades en Contabilidad; Impuestos y Finanzas,Certificación,Certificación,En línea,96 horas,o,o
Desarrollo de Soft Skills Personales; Sociales y de Liderazgo,Certificación,Certificación,En línea,81 horas,o,o
Gestión Estratégica de los Portafolios de Proyectos,Certificación,Certificación,Aula Virtual,64 horas,o,o
Habilidades de Administración Ágil de Proyectos; Basado en Estándares del PMI® e IPMA,Certificación,Certificación,En línea,115 horas,o,o
Lean Six Sigma Black Belt,Certificación,Certificación,Aula Virtual,159 horas,o,o
Lean Six Sigma Green Belt,Certificación,Certificación,En línea,136 horas,o,o
Ética y Cumplimiento Corporativo Internacional,Certificación,Certificación,Live,100 horas,o,o
Administración Aduanera,Diplomado,Posgrados y Educacion Continua,Aula Virtual,148 horas,Mensual,o
Administración Avanzada de Compras,Diplomado,Posgrados y Educacion Continua,Live,96 horas,Mensual,o
Administración Estratégica de Capital Humano,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual,o
Administración Financiera,Diplomado,Posgrados y Educacion Continua,En línea,134 horas,Mensual,o
Administración de Proyectos de Tecnologías de Información (APTI),Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual,o
Administración de la Construcción,Diplomado,Posgrados y Educacion Continua,Aula Virtual,134 horas,Mensual,o
Agronegocios,Diplomado,Posgrados y Educacion Continua,Aula Virtual,108 horas,Mensual,o
Aseguramiento de la Calidad Farmacéutica,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual,o
Business Management,Diplomado,Posgrados y Educacion Continua,Live,110 horas,Mensual,o
Calidad y Productividad,Diplomado,Posgrados y Educacion Continua,En línea,142 horas,Mensual,o
Comunicación Avanzada para la Alta Dirección,Diplomado,Posgrados y Educacion Continua,Aula Virtual,144 horas,Mensual,o
Comunicación Cooporativa Estratégica,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual,o
Data Science for Business,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual,o
